"Title","Distributor","Director","Genre","Website"
"The Look of Love ","Film4 Productions"," Michael Winterbottom","Comedy","Odeon.co.uk"
"Bombay Talkies ","Viacom 18 Motion Pictures"," Anurag Kashyap","Anthology",""
"Greetings from Tim Buckley"," Focus World "," Daniel Algrant","Biography","comingsoon.net"
"Kiss of the Damned","Magnolia Pictures"," Alexandra Cassavetes","Drama","boxofficemojo.com"
"|''Shootout at Wadala","Balaji Motion Pictures"," Sanjay Gupta","Crime",""
"|''The Iceman ","Millennium Entertainment"," Ariel Vromen","Drama","boxofficemojo.com"
"What Maisie Knew ","Millennium Entertainment"," Scott McGehee","Drama","boxofficemojo.com"
"Star Trek Into Darkness","Paramount Pictures/Bad Robot"," J. J. Abrams","Action",""
"Aftershock ","Dimension Films"," Nicolas Lopez","Horror","ComingSoon.net"
"Go Goa Gone","Eros International"," Raj Nidimoru","Comedy","bollywoodhungama.com"
"He's Way More Famous Than You","Warner Bros."," Michael Urie","Comedy","ComingSoon.net"
"No One Lives","Anchor Bay Films"," Ryuhei Kitamura","Horror","ComingSoon.net"
"Tyler Perry Presents Peeples","Lions Gate Entertainment|Lionsgate"," Tina Gordon Chism","Comedy","ComingSoon.net"
"Aurangzeb ","Yash Raj Films"," Atul Sabharwal","Action","indiatimes.com"
"Black Rock ","LD Entertainment"," Katie Aselton","Horror","ComingSoon.net"
"Fast & Furious 6","Universal Studios|Universal Pictures"," Justin Lin","Action","filmdates.co.uk"
"Frances Ha","IFC Films"," Noah Baumbach","Drama","indiewire.com"
"The English Teacher "," Artina Films "," Craig Zisk","Comedy","ComingSoon.net"
"The Reluctant Fundamentalist ","Mirabai Films|The Mirabai Films"," Mira Nair","","indiatimes.com"
"The Hangover Part III","Warner Bros."," Todd Phillips","Comedy","[[Variety (m"
"Before Midnight ","Sony Pictures Classics"," Richard Linklater","Romance","ComingSoon.net"
"Epic ","20th Century Fox/Blue Sky Studios"," Chris Wedge","Adventure","ComingSoon.net"
"Only God Forgives"," RADiUS-TWC "," Nicolas Winding Refn","Crime","ComingSoon.net"
"After Earth","Columbia Pictures"," M. Night Shyamalan","Sci","ComingSoon.net"
"Byzantium ","StudioCanal"," Neil Jordan","Drama","filmdates.co.uk"
"Now You See Me ","Summit Entertainment"," Louis Leterrier","Crime","ComingSoon.net"
"The East ","Fox Searchlight Pictures"," Zal Batmanglij","Crime","ComingSoon.net"
"The Kings of Summer","CBS Films"," Jordan Vogt-Roberts ","Comedy","ComingSoon.net"
"The Purge","Universal Studios|Universal Pictures"," James DeMonaco","Sci","odeon.co.uk"
"Yeh Jawaani Hai Deewani","Eros International"," Ayan Mukerji","Romantic","boxofficeindia.com"
"Hello Herman","Freestyle Releasing"," Michelle Danner","Drama","boxofficemojo.com"
"Much Ado About Nothing ","Lions Gate Entertainment|Lionsgate/Roadside Attractions"," Joss Whedon","Comedy","ComingSoon.net"
"The Internship","20th Century Fox"," Shawn Levy","Comedy","ComingSoon.net"
"Tiger Eyes ","Freestyle Releasing"," Lawrence Blume","Drama","ComingSoon.net"
"Violet & Daisy"," GreeneStreet Films / Magic Violet "," Geoffrey S. Fletcher","Action","ComingSoon.net"
"This Is the End","Columbia Pictures/Mandate Pictures"," Evan Goldberg","Comedy","ComingSoon.net"
"Fukrey","Excel Entertainment"," Mrighdeep Singh Lamba","Romance","bollywoodhungama.com"
"Man of Steel ","Warner Bros./Legendary Pictures"," Zack Snyder","Action","ComingSoon.net"
"The Bling Ring","A24 Films|A24"," Sofia Coppola","Comedy","ComingSoon.net"
"My Little Pony: Equestria Girls","Hasbro Studios"," Jayson Thiessen ","Comedy","nytimes.com"
"Despicable Me 2","Universal Studios|Universal Pictures/Illumination Entertainment"," Chris Renaud ","Comedy","viva-press.com"
"Monsters University","Walt Disney Pictures/Pixar Animation Studios"," Dan Scanlon","Comedy","totallyegypt.com"
"This Is Martin Bonner"," Monterey Media "," Chad Hartigan","Drama","boxofficemojo.com"
"World War Z ","Paramount Pictures/Skydance Productions"," Marc Forster","Action","ComingSoon.net"
"100 Bloody Acres"," Cyan Films "," Colin Cairnes","Horror","ComingSoon.net"
"Copperhead "," The Film Collective "," Ronald F. Maxwell","Drama","ComingSoon.net"
"The Heat ","20th Century Fox"," Paul Feig","Action","ComingSoon.net"
"White House Down","Columbia Pictures"," Roland Emmerich","Action","ComingSoon.net"
"The Lone Ranger ","Walt Disney Pictures/Jerry Bruckheimer|Jerry Bruckheimer Films"," Gore Verbinski","Action","ComingSoon.net"
"Hammer of the Gods ","Magnet Releasing"," Farren Blackburn ","Action","ComingSoon.net"
"Lootera","Balaji Motion Pictures"," Vikramaditya Motwane","Romantic","bollywoodhungama.com"
"Stuck in Love","Millennium Entertainment"," Josh Boone","Drama","ComingSoon.net"
"The Way, Way Back","Fox Searchlight Pictures"," Nat Faxon","Comedy","ComingSoon.net"
"Bhaag Milkha Bhaag","Reliance Entertainment"," Rakeysh Omprakash Mehra","Biographical","bollywoodhungama.com"
"Dealing with Idiots","IFC Films"," Jeff Garlin","Comedy",""
"Fruitvale Station","The Weinstein Company"," Ryan Coogler","Drama","ComingSoon.net"
"Grown Ups 2","Columbia Pictures"," Dennis Dugan","Comedy","ComingSoon.net"
"Killing Season "," Millennium Films "," Mark Steven Johnson","Action","ComingSoon.net"
"Pacific Rim ","Warner Bros./Legendary Pictures"," Guillermo del Toro","Action","fangoria.com"
"V/H/S/2","Magnolia Pictures"," Adam Wingard","Horror","ComingSoon.net"
"ExtremeSpeed Genesect: Mewtwo Awakens","Toho/OLM, Inc."," Kunihiko Yuyama","Anime","animenewsnetwork.com"
"Turbo ","20th Century Fox/DreamWorks Animation"," David Soren ","Comedy","TheHollywoodReporter.com"
"D-Day ","DAR motion pictures"," Nikhil Advani","Crime","bollywoodhungama.com"
"Girl Most Likely","Lions Gate Entertainment"," Robert Pulcini","Comedy","ComingSoon.net"
"RED 2 ","Summit Entertainment"," Dean Parisot","Action","ComingSoon.net"
"R.I.P.D.","Universal Pictures"," Robert Schwentke","Action","ComingSoon.net"
"The Conjuring ","Warner Bros./New Line Cinema"," James Wan","Thriller","ComingSoon.net"
"The World's End ","Focus Features"," Edgar Wright","Comedy",""
"The Wolverine ","20th Century Fox/Marvel Studios"," James Mangold","Action","ComingSoon.net"
"Blue Jasmine","Sony Pictures Classics"," Woody Allen(director","Drama",""
"The To Do List","CBS Films"," Maggie Carey","Comedy","ComingSoon.net"
"The Smurfs 2","Columbia Pictures/Sony Pictures Animation"," Raja Gosnell","Adventure","ComingSoon.net"
"2 Guns","Universal Studios"," Baltasar Kormákur","Action","ComingSoon.net"
"Europa Report"," Wayfare Entertainment "," Sebastián Cordero","Science","ComingSoon.net"
"The Canyons ","IFC Films"," Paul Schrader","Drama","ComingSoon.net"
"The Spectacular Now","A24 Films"," James Ponsoldt","Drama","ComingSoon.net"
"Percy Jackson: Sea of Monsters","20th Century Fox"," Thor Freudenthal","Adventure","ComingSoon.net"
"We're the Millers","Warner Bros./New Line Cinema"," Rawson Thurber","Comedy","ComingSoon.net"
"Atharintiki Daaredi","Sri Venkateswara Cine Chitra"," Trivikram Srinivas","Family","123telugu.com"
"Chennai Express''","Red Chillies Entertainment"," Rohit Shetty","Action",""
"Elysium ","TriStar Pictures"," Neill Blomkamp","Future","ComingSoon.net"
"Planes ","Walt Disney Pictures"," Klay Hall","Family","ComingSoon.net"
"Thalaivaa"," Sri Mishri Productions "," A. L. Vijay","Action",""
"Kick-Ass 2 ","Universal Studios|Universal Pictures"," Jeff Wadlow","Action","filmdates.co.uk"
"Ain't Them Bodies Saints","IFC Films"," David Lowery","Western","ComingSoon.net"
"Jobs ","Open Road Films"," Joshua Michael Stern","Biography","ComingSoon.net"
"Paranoia ","Relativity Media"," Robert Luketic","Crime","ComingSoon.net"
"The Butler","The Weinstein Company"," Lee Daniels","Drama","ComingSoon.net"
"The Mortal Instruments: City of Bones","Screen Gems"," Harald Zwart","Action","ComingSoon.net"
"Drinking Buddies","Magnolia Pictures"," Joe Swanberg","Comedy",""
"Scenic Route "," Vertical Entertainment "," Kevin Goetz","Psychological","ComingSoon.net"
"Short Term 12"," Cinedigm Entertainment "," Destin Daniel Cretton","Drama","ComingSoon.net"
"You're Next","Lions Gate Entertainment|Lionsgate"," Adam Wingard","Horror","ComingSoon.net"
"Closed Circuit ","Focus Features"," John Crowley","Crime","ComingSoon.net"
"One Direction: This Is Us","TriStar Pictures"," Morgan Spurlock","Documentary","odeon.co.uk"
"Getaway ","Warner Bros."," Courtney Solomon","Action","ComingSoon.net"
"The Lifeguard","Screen Media Films"," Liz W. Garcia","Comedy","ComingSoon.net"
"Hell Baby","Gravitas Ventures"," Ben Garant","Horror","ComingSoon.net"
"Riddick ","Universal Studios|Universal Pictures"," David Twohy","Action","ComingSoon.net"
"Shuddh Desi Romance","Yash Raj Films"," Maneesh Sharma","Romantic","bollywoodhungama.com"
"Touchy Feely","Magnolia Pictures"," Lynn Shelton","Drama","ComingSoon.net"
"Winnie Mandela ","Image Entertainment"," Darrell Roodt","Biographical","ComingSoon.net"
"Insidious: Chapter 2","FilmDistrict"," James Wan","Horror","ComingSoon.net"
"Jayne Mansfield's Car","Anchor Bay Films"," Billy Bob Thornton","Drama","ComingSoon.net"
"The Family ","Relativity Media"," Luc Besson","Crime","ComingSoon.net"
"Enough Said ","Fox Searchlight"," Nicole Holofcener","Comedy","ComingSoon.net"
"Battle of the Year ","Screen Gems"," Benson Lee ","Musical","ComingSoon.net"
"Prisoners ","Warner Bros."," Denis Villeneuve","Crime","ComingSoon.net"
"Rush ","Universal Studios|Universal Pictures"," Ron Howard","Action","ComingSoon.net"
"The Face of Love ","IFC Films"," Arie Posin","Romantic","ComingSoon.net"
"The Wizard of Oz ","Warner Bros./MGM"," Victor Fleming","Musical",""
"Baggage Claim ","Fox Searchlight Pictures"," David E. Talbert","Comedy","ComingSoon.net"
"Cloudy with a Chance of Meatballs 2","Columbia Pictures/Sony Pictures Animation"," Cody Cameron","Family","ComingSoon.net"
"Don Jon","Relativity Media"," Joseph Gordon-Levitt","Romance","ComingSoon.net"
"Metallica: Through the Never","Picturehouse (company)|Picturehouse"," Nimród Antal","Documentary","rollingstone.com"
"Ramayya Vasthavayya","Sri Venkateswara Creations"," Harish Shankar","Action","123telugu.com"
"Runner, Runner ","20th Century Fox"," Brad Furman","Crime","ComingSoon.net"
"Gravity ","Warner Bros."," Alfonso Cuaron","Sci","ComingSoon.net"
"Grace Unplugged","Roadside Attractions"," Brad J. Silverman ","Family","ComingSoon.net"
"Captain Phillips ","Columbia Pictures"," Paul Greengrass","Action","ComingSoon.net"
"Machete Kills","Open Road Films"," Robert Rodriguez","Action","ComingSoon.net"
"Romeo and Juliet ","Relativity Media"," Carlo Carlei ","Drama","dailymail.co.uk"
"The Devil's Rapture","LD Entertainment"," Christian E. Christiansen","Horror","ComingSoon.net"
"12 Years a Slave ","Fox Searchlight Pictures"," Steve McQueen ","Biography","ComingSoon.net"
"Carrie ","Screen Gems/Metro-Goldwyn-Mayer|MGM"," Kimberly Peirce","Drama","ComingSoon.net"
"Escape Plan ","Summit Entertainment"," Mikael Hafstrom","Action","ComingSoon.net"
"I'm in Love with a Church Girl"," Reverence Gospel Media Films "," Steve Race ","Drama","ComingSoon.net"
"The Fifth Estate ","Touchstone Pictures/DreamWorks Pictures"," Bill Condon","Drama","ComingSoon.net"
"Jackass Presents: Bad Grandpa","Paramount Pictures/MTV Films"," Jeff Tremaine","Comedy","ComingSoon.net"
"The Counselor","20th Century Fox"," Ridley Scott","Crime","ComingSoon.net"
"Dallas Buyers Club","Focus Features"," Jean-Marc Vallée","Drama","ComingSoon.net"
"Ender's Game ","Summit Entertainment"," Gavin Hood","Action","ComingSoon.net"
"Free Birds","Relativity Media"," Jimmy Hayward","Comedy","ComingSoon.net"
"Last Vegas","CBS Films"," Jon Turteltaub","Comedy","ComingSoon.net"
"Thor: The Dark World","Marvel Studios/Walt Disney Studios Motion Pictures"," Alan Taylor","Action","Boxofficemojo"
"The Best Man Holiday","Universal Studios|Universal Pictures"," Malcolm D. Lee","Comedy","ComingSoon.net"
"The Book Thief ","20th Century Fox"," Brian Percival","Drama","Com"
"The Wolf of Wall Street ","Paramount Pictures"," Martin Scorsese","Crime","ComingSoon.net"
"Delivery Man ","Touchstone Pictures/DreamWorks Pictures"," Ken Scott","Comedy","ComingSoon.net"
"Nebraska ","Summit Entertainment/Paramount Pictures"," Alexander Payne","Comedy","ComingSoon.net"
"The Hunger Games: Catching Fire","Lionsgate Films|Lionsgate"," Francis Lawrence","Action","ComingSoon.net"
"Black Nativity ","Fox Searchlight Pictures"," Kasi Lemmons","Drama","ComingSoon.net"
"Frozen ","Walt Disney Pictures"," Jennifer Lee","Family","ComingSoon.net"
"Grace of Monaco ","The Weinstein Company"," Olivier Dahan","Biography","ComingSoon.net"
"Homefront ","Open Road Films"," Gary Fleder","Action","ComingSoon.net"
"Oldboy ","FilmDistrict"," Spike Lee","Crime","ComingSoon.net"
"Mandela: Long Walk to Freedom","The Weinstein Company"," Justin Chadwick","Drama","ComingSoon.net"
"Inside Llewyn Davis","CBS Films"," Joel Coen","Biography","ComingSoon.net"
"Out of the Furnace","Relativity Media"," Scott Cooper","Crime","ComingSoon.net"
"A Madea Christmas ","Lionsgate Films|Lionsgate"," Tyler Perry","Comedy","ComingSoon.net"
"American Hustle ","Columbia Pictures"," David O. Russell","Crime","ComingSoon.net"
"Saving Mr. Banks","Walt Disney Pictures"," John Lee Hancock","Drama",""
"The Hobbit: The Desolation of Smaug","Warner Bros./New Line Cinema/Metro-Goldwyn-Mayer|MGM"," Peter Jackson","Adventure","ComingSoon.net"
"Her ","Warner Bros."," Spike Jonze","Drama","ComingSoon.net"
"The Monuments Men ","Columbia Pictures/20th Century Fox"," George Clooney","War","ComingSoon.net"
"Anchorman 2: The Legend Continues","Paramount Pictures"," Adam McKay","Comedy","ComingSoon.net"
"Foxcatcher","Sony Pictures Classics"," Bennett Miller","Drama","ComingSoon.net"
"Walking with Dinosaurs ","20th Century Fox"," Neil Nightengale","Family","ComingSoon.net"
"47 Ronin ","Universal Studios|Universal Pictures"," Carl Rinsch ","Action","ComingSoon.net"
"August: Osage County ","The Weinstein Company"," John Wells ","Comedy","ComingSoon.net"
"Grudge Match ","Warner Bros."," Peter Segal","Comedy","ComingSoon.net"
"Jack Ryan ","Paramount Pictures/Skydance Productions"," Kenneth Branagh","Action","ComingSoon.net"
"The Secret Life of Walter Mitty ","20th Century Fox/Samuel Goldwyn Films"," Ben Stiller","Comedy","ComingSoon.net"
"Lone Survivor ","Universal Studios|Universal Pictures"," Peter Berg","Drama","ComingSoon.net"
